,Date,url,Section,Titre,Article
0,05 Avril 2018 23:33,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/320144/nida-tounes-envoie-une-correspondance-a-l-isie,Politique,Nida Tounes envoie une correspondance à l'ISIE,"Nidaa Tounes a envoyé une correspondance à l'ISIE, dans laquelle il informe que la loi électorale permet à toutes les listes approuvées d'ouvrir un compte bancaire dédié à sa campagne électorale et déclaré auprès des instances dans les 48 heures qui suivent l'acceptation des listes candidates. La même source a précisé que les têtes de listes candidates se sont rendus compte de l'impossibilité d'ouverture d'un compte bancaire auprès des différentes agences, en raison de la non réception d'une circulaire de la banque centrale. Nidaa Tounes a exprimé son étonnement et a appelé l'ISIE a prendre les mesures légales nécessaires pour régulariser la situation.     "
1,05 Avril 2018 23:33,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/320144/nida-tounes-envoie-une-correspondance-a-l-isie,Politique,Nida Tounes envoie une correspondance à l'ISIE,"Nidaa Tounes a envoyé une correspondance à l'ISIE, dans laquelle il informe que la loi électorale permet à toutes les listes approuvées d'ouvrir un compte bancaire dédié à sa campagne électorale et déclaré auprès des instances dans les 48 heures qui suivent l'acceptation des listes candidates. La même source a précisé que les têtes de listes candidates se sont rendus compte de l'impossibilité d'ouverture d'un compte bancaire auprès des différentes agences, en raison de la non réception d'une circulaire de la banque centrale. Nidaa Tounes a exprimé son étonnement et a appelé l'ISIE a prendre les mesures légales nécessaires pour régulariser la situation.     "
2,05 Avril 2018 21:10,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/320114/kais-allani-demissionne-d-afek-tounes,Politique,Kaïs Allani démissionne d'Afek Tounes,"Kaïs Allani, président du laboratoire socio-économique Afek Tounes a annoncé sa décision, du parti,  jeudi 5 avril 2018.      Dans un post publié sur son compte Facebook, Kaïs Allani a indiqué que les raisons de sa décision de quitter Afek Tounes sont multiples et longues à expliquer.    "
3,05 Avril 2018 21:10,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/320114/kais-allani-demissionne-d-afek-tounes,Politique,Kaïs Allani démissionne d'Afek Tounes,"Kaïs Allani, président du laboratoire socio-économique Afek Tounes a annoncé sa décision, du parti,  jeudi 5 avril 2018.      Dans un post publié sur son compte Facebook, Kaïs Allani a indiqué que les raisons de sa décision de quitter Afek Tounes sont multiples et longues à expliquer.    "
4,05 Avril 2018 18:50,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/320009/reouverture-de-l-appel-a-candidatures-pour-la-cour-constitutionnelle,Politique,Réouverture de l’appel à candidatures pour la Cour constitutionnelle,"Le bureau de l’Assemblée des représentants du peuple (ARP), a décidé de rouvrir l’appel à candidatures pour la Cour constitutionnelle, ce jeudi 5 avril 2018. La Cour constitutionnelle est composée de douze membres, dont quatre sont choisis par le parlement. Les huit autres membres de la Cour constitutionnelle sont proposés par le président de la République (quatre membres) et par le Conseil supérieur de la magistrature (quatre membres). Le 21 mars dernier, aucun candidat pour la Cour constitutionnelle n'avait obtenu la majorité requise de 145 voix, à l'issue du 3e et dernier tour de vote pour l’élection des membres de la Cour. (TAP)"
5,05 Avril 2018 18:50,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/320009/reouverture-de-l-appel-a-candidatures-pour-la-cour-constitutionnelle,Politique,Réouverture de l’appel à candidatures pour la Cour constitutionnelle,"Le bureau de l’Assemblée des représentants du peuple (ARP), a décidé de rouvrir l’appel à candidatures pour la Cour constitutionnelle, ce jeudi 5 avril 2018. La Cour constitutionnelle est composée de douze membres, dont quatre sont choisis par le parlement. Les huit autres membres de la Cour constitutionnelle sont proposés par le président de la République (quatre membres) et par le Conseil supérieur de la magistrature (quatre membres). Le 21 mars dernier, aucun candidat pour la Cour constitutionnelle n'avait obtenu la majorité requise de 145 voix, à l'issue du 3e et dernier tour de vote pour l’élection des membres de la Cour. (TAP)"
6,03 Avril 2018 17:08,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/318614/avertissement-a-certains-partis-politiques-photo,Politique,Avertissement à certains partis politiques (photo),"Le ministère chargé des Relations avec les Institutions Constitutionnelles, la Société Civile et les Droits de l'Homme a émis, dans un communiqué publié, un avertissement à plusieurs partis politiques, n'ayant pas présenté leurs rapports financiers de l'année 2016. Le ministère a fixé un délai d'un mois, à compter de ce mardi 3 avril, à ces partis pour régulariser leurs situations, et a précisé que les sanctions pourraient aboutir à la dissolution des partis en infraction."
7,03 Avril 2018 17:08,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/318614/avertissement-a-certains-partis-politiques-photo,Politique,Avertissement à certains partis politiques (photo),"Le ministère chargé des Relations avec les Institutions Constitutionnelles, la Société Civile et les Droits de l'Homme a émis, dans un communiqué publié, un avertissement à plusieurs partis politiques, n'ayant pas présenté leurs rapports financiers de l'année 2016. Le ministère a fixé un délai d'un mois, à compter de ce mardi 3 avril, à ces partis pour régulariser leurs situations, et a précisé que les sanctions pourraient aboutir à la dissolution des partis en infraction."
8,03 Avril 2018 16:07,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/318554/loyaute-envers-la-patrie-nouveau-bloc-parlementaire-a-l-arp,Politique,"Loyauté envers la patrie, nouveau bloc parlementaire à l'ARP","Le député Riadh Jaidane a annoncé, lors d'un point de presse à l'assemblée des représentants du peuple, la création du nouveau bloc parlementaire ""La loyauté envers la patrie"" (Al walaa Lel Watan). Riadh Jaidane a assuré que ce bloc parlementaire ne sera ni contre ni avec le gouvernement de Youssef Chahed."
9,03 Avril 2018 16:07,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/318554/loyaute-envers-la-patrie-nouveau-bloc-parlementaire-a-l-arp,Politique,"Loyauté envers la patrie, nouveau bloc parlementaire à l'ARP","Le député Riadh Jaidane a annoncé, lors d'un point de presse à l'assemblée des représentants du peuple, la création du nouveau bloc parlementaire ""La loyauté envers la patrie"" (Al walaa Lel Watan). Riadh Jaidane a assuré que ce bloc parlementaire ne sera ni contre ni avec le gouvernement de Youssef Chahed."
