Député,Parti politique,Région,Année de naissance calculée,Profession
Abdelkader Ben Dhifallah,Union Patriotique Libre,Nabeul 2,1974,Agriculteur
Mohamed Nejib Torjmane,Mouvement Nidaa Tounes,La Manouba,1953,Fonctionnaire dans le secteur privé
Mongi Rahoui,Front Populaire,Jendouba,1964,Cadre supérieur dans le secteur bancaire
Abderraouf Chebbi,Union Patriotique Libre,Tozeur,1980,Retraité
Mohamed Jalel Ghedira,Mouvement Nidaa Tounes,Monastir,1958,Retraité
Mohamed Ali Bedoui,Mouvement Ennahdha,Kebili,1953,Retraité
Hssine Yahyaoui,Mouvement Ennahdha,Tataouine,1954,Cadre supérieur dans la fonction publique
Latifa Habachi,Mouvement Ennahdha,La Manouba,1973,Avocat
Hela Omrane,Mouvement Nidaa Tounes,Monastir,1981,Technicien supérieur
Noureddine Mrabti,Union Patriotique Libre,Siliana,1974,Non catégorisé
Jilani Hammami,Front Populaire,Siliana,1958,Fonctionnaire dans le secteur privé
Monia Brahim,Mouvement Ennahdha,Sousse,1967,Etudiant
Dalila Babba,Mouvement Ennahdha,France 2,1966,Non catégorisé
Ons Hattab,Mouvement Nidaa Tounes,Kairouan,1977,Enseignant universitaire
Salah Bargaoui,Mouvement Nidaa Tounes,Siliana,1959,Avocat
Samia Abbou,Courant Démocratique,Tunis 1,1966,Avocat
Houda Slim,Mouvement Nidaa Tounes,Tunis 2,2019,
Noura Amri,Mouvement Nidaa Tounes,Sousse,2019,
Lotfi Ali,Parti l'initiative,Gafsa,1965,Chef d'entreprise
Ridha Charfeddine,Mouvement Nidaa Tounes,Sousse,1952,Chef d'entreprise
Issam Matoussi,Mouvement Nidaa Tounes,Beja,1978,Enseignant universitaire
Nozha Biaoui,Front National du Salut,Sidi Bouzid,2019,
Ramzi Ben Fraj,Mouvement Ennahdha,Amérique et reste de l'Europe,1969,Avocat
Sabrine Goubantini,Mouvement Nidaa Tounes,Ariana,1988,Comptable
Aroua Ben Abbas,Mouvement Ennahdha,Tunis 2,1964,Architecte
Ahmed Seddik,Front Populaire,Tunis 1,1964,Avocat
Mohamed Mohsen Soudani,Mouvement Ennahdha,Gafsa,1965,Enseignant du secondaire
Hayet Omri,Mouvement Ennahdha,Sidi Bouzid,1982,Chercheur universitaire
Noureddine Bhiri,Mouvement Ennahdha,Ben Arous,1958,Avocat
Leila Hamrouni,Mouvement Nidaa Tounes,Ariana,1961,Chercheur universitaire
