Député,Parti.politique,Région,Nombre.de.voix,Rang.dans.la.liste,Age,Profession,Bloc
Abada Kefi,Mouvement Nidaa Tounes,Le Kef,34885,1,68,Avocat,Bloc Al Horra du Mouvement Machrouu Tounes
Abdelaziz Kotti,Mouvement Nidaa Tounes,Ariana,82769,1,47,Non catégorisé,Aucun bloc
Abdelfattah Mourou,Mouvement Ennahdha,Tunis 2,42250,1,69,Avocat,Mouvement Ennahdha
Abdelkader Ben Dhifallah,Union Patriotique Libre,Nabeul 2,5917,1,44,Agriculteur,Union Patriotique Libre
Abdellatif Mekki,Mouvement Ennahdha,Le Kef,12672,1,55,Médecin ,Mouvement Ennahdha
Abdelmoumen Belanes,Front Populaire,Monastir,5073,1,62,Travailleur Journalier,Front Populaire
Abdelouahab Ouerfelli,Allégeance à la Patrie,Siliana,4153,3,0,,Allégeance à la Patrie
Abdennaceur Chouikh,Mouvement Nidaa Tounes,Tunis 1,60295,2,61,Cadre supérieur dans le secteur privé,Allégeance à la Patrie
Abderraouf Chebbi,Union Patriotique Libre,Tozeur,1729,1,38,Retraité,Union Patriotique Libre
Abderraouf Cherif,Mouvement Nidaa Tounes,Tozeur,4845,1,65,Médecin ,Bloc Al Horra du Mouvement Machrouu Tounes
Abderraouf El May,Mouvement Nidaa Tounes,Pays arabes et reste du monde,4451,1,58,Cadre supérieur dans le secteur privé,Bloc National
Abderrazak Chraiet,,,NA,NA,80,Chef d'entreprise,Aucun bloc
Abir Abdelli,Mouvement Nidaa Tounes,Sidi Bouzid,27399,2,40,Cadre supérieur dans le secteur privé,Mouvement Nidaa Tounes
Adnane Hajji,Bloc Social-Démocrate,Gafsa,5236,1,59,Instituteur enseignement de base,Aucun bloc
Ahmed Ameri,Mouvement Ennahdha,Medenine,68795,3,66,Retraité,Mouvement Ennahdha
Ahmed Mechergui,Mouvement Ennahdha,Jendouba,19829,1,48,Enseignant du secondaire,Mouvement Ennahdha
Ahmed Saidi,Bloc Social-Démocrate,Sousse,8626,1,64,Médecin ,Mouvement Nidaa Tounes
Ahmed Seddik,Front Populaire,Tunis 1,5321,1,54,Avocat,Front Populaire
Ali Belakhoua,Union Patriotique Libre,Bizerte,8055,1,55,Fonctionnaire dans le secteur privé,Union Patriotique Libre
Ali Ben Salem,Mouvement Nidaa Tounes,Bizerte,56968,1,85,Retraité,Mouvement Nidaa Tounes
Ali Bennour,Afek Tounes et l'appel des tunisiens à l'étranger,Monastir,6292,1,64,Artiste,Aucun bloc
Ali Laraiedh,Mouvement Ennahdha,Tunis 1,53343,1,62,Ingénieur ,Mouvement Ennahdha
Amal Souid,Mouvement Ennahdha,Gabès,58152,2,29,Etudiant,Mouvement Ennahdha
Ameur Laraiedh,Mouvement Ennahdha,Medenine,68795,1,53,Enseignant universitaire,Mouvement Ennahdha
Amira Zoukari,Mouvement Nidaa Tounes,Ben Arous,84359,5,0,,Mouvement Nidaa Tounes
Ammar Amroussia,Front Populaire,Gafsa,5664,1,57,Instituteur enseignement de base,Front Populaire
Aroua Ben Abbas,Mouvement Ennahdha,Tunis 2,42250,2,54,Architecte,Mouvement Ennahdha
Asma Abou Hana,Mouvement Nidaa Tounes,Gafsa,21821,2,39,Huissier de justice,Mouvement Nidaa Tounes
Aymen Aloui,Front Populaire,Kasserine,4591,1,36,Fonctionnaire dans le secteur privé,Front Populaire
Badreddine Abdelkefi,Mouvement Ennahdha,Sfax 2,57994,3,58,Enseignant du secondaire,Mouvement Ennahdha
Basma Jebali,Mouvement Ennahdha,Medenine,68795,2,42,Non catégorisé,Mouvement Ennahdha
