Député,Parti polituque,Région,Nombre de voix,Rang dans la liste
Samia Abbou,Bloc Démocrate,Tunis 1,5404 voix,Tête de liste
Badreddine Abdelkefi,Mouvement Ennahdha,Sfax 2,57994 voix,3ème sur la liste
Mohamed Abdellaoui,Mouvement Nidaa Tounes,Sidi Bouzid,27399 voix,3ème sur la liste
Abir Abdelli,Mouvement Nidaa Tounes,Sidi Bouzid,27399 voix,2ème sur la liste
Asma Abou Hana,Mouvement Nidaa Tounes,Gafsa,21821 voix,2ème sur la liste
Mohamed Anouar Adhar,Afek Tounes et l'appel des tunisiens à l'étranger,Sfax 2,6742 voix,Tête de liste
Oussama Al Sghaier,Mouvement Ennahdha,Italie,2975 voix,2ème sur la liste
Lotfi Ali,Bloc Social-Démocrate,Gafsa,4623 voix,Tête de liste
Aymen Aloui,Front Populaire,Kasserine,4591 voix,Tête de liste
Souhail Alouini,Mouvement Nidaa Tounes,Kairouan,33513 voix,Tête de liste
Nizar Amami,Front Populaire,La Manouba,2981 voix,Tête de liste
Ahmed Ameri,Mouvement Ennahdha,Medenine,68795 voix,3ème sur la liste
Hssan Amri,Mouvement Nidaa Tounes,Ariana,82769 voix,3ème sur la liste
Noura Amri,Mouvement Nidaa Tounes,Sousse,102604 voix,6ème sur la liste
Ammar Amroussia,Front Populaire,Gafsa,5664 voix,Tête de liste
Mbarka Aouania ,Front Populaire,Sidi Bouzid,7918 voix,Tête de liste
Jihen Aouichi,Mouvement Nidaa Tounes,Jendouba,34484 voix,2ème sur la liste
Sahbi Atig,Mouvement Ennahdha,Ariana,42459 voix,Tête de liste
Wafa Attia,Mouvement Ennahdha,Sousse,50820 voix,4ème sur la liste
Chafik Ayadi,Front Populaire,Sfax 1,6413 voix,Tête de liste
Chaker Ayadi,Mouvement Nidaa Tounes,Jendouba,34484 voix,3ème sur la liste
Fathi Ayadi,Mouvement Ennahdha,Sfax 1,49609 voix,Tête de liste
Yassine Ayari,"
				",Allemangne,284 voix,Tête de liste
Dalila Babba,Mouvement Ennahdha,France 2,8134 voix,2ème sur la liste
Kalthoum Badreddine,Mouvement Ennahdha,Sfax 2,57994 voix,2ème sur la liste
Chakib Bani,Mouvement Nidaa Tounes,Nabeul 1,73739 voix,4ème sur la liste
Walid Banneni,Mouvement Ennahdha,Kasserine,23650 voix,Tête de liste
Salah Bargaoui,Mouvement Nidaa Tounes,Siliana,16618 voix,Tête de liste
Tarek Barrak,Front Populaire,Kairouan,4830 voix,Tête de liste
Souad Bayouli,Front Populaire,Sfax 2,5991 voix,Tête de liste
Mohamed Ali Bedoui,Mouvement Ennahdha,Kebili,21944 voix,Tête de liste
Ali Belakhoua,Union Patriotique Libre,Bizerte,8055 voix,Tête de liste
Abdelmoumen Belanes,Front Populaire,Monastir,5073 voix,Tête de liste
Haykel Belgacem,Front Populaire,Mahdia,3215 voix,Tête de liste
Mondher Belhaj Ali,Mouvement Nidaa Tounes,La Manouba,38009 voix,Tête de liste
Bochra Belhaj Hamida,Mouvement Nidaa Tounes,Tunis 2,115045 voix,2ème sur la liste
Moez Belhaj Rhouma,Mouvement Ennahdha,Nabeul 1,29368 voix,3ème sur la liste
Lakhdhar Belhouchat,Mouvement Ennahdha,Medenine,68795 voix,5ème sur la liste
Aroua Ben Abbas,Mouvement Ennahdha,Tunis 2,42250 voix,2ème sur la liste
Najia Ben Abdelhafidh,Mouvement Nidaa Tounes,France 2,12987 voix,2ème sur la liste
Noureddine Ben Achour,Union Patriotique Libre,Beja,4411 voix,Tête de liste
Mustapha Ben Ahmed,Mouvement Nidaa Tounes,Tunis 2,115045 voix,3ème sur la liste
Khawla Ben Aicha,Mouvement Nidaa Tounes,France 1,15406 voix,2ème sur la liste
Nadhir Ben Ammou,Mouvement Ennahdha,Tunis 1,53343 voix,3ème sur la liste
Bechir Ben Amor,Mouvement Nidaa Tounes,Medenine,14334 voix,Tête de liste
Hedi Ben Braham,Mouvement Ennahdha,Mahdia,24865 voix,Tête de liste
Heger Ben Cheikh Ahmed,Afek Tounes et l'appel des tunisiens à l'étranger,Tunis 2,9119 voix,2ème sur la liste
Abdelkader Ben Dhifallah,Union Patriotique Libre,Nabeul 2,5917 voix,Tête de liste
Mahbouba Ben Dhifallah,Mouvement Ennahdha,Kebili,21944 voix,2ème sur la liste
Faouzia Ben Fodha,Union Patriotique Libre,La Manouba,9460 voix,Tête de liste
Ramzi Ben Fraj,Mouvement Ennahdha,Amérique et reste de l'Europe,4336 voix,Tête de liste
Sahbi Ben Fraj,Mouvement Nidaa Tounes,Tunis 2,115045 voix,5ème sur la liste
El Khansa Ben Harrath,Mouvement Nidaa Tounes,Le Kef,34885 voix,2ème sur la liste
Rabha Ben Hassine,Mouvement Nidaa Tounes,Mahdia,50448 voix,4ème sur la liste
Ibtihej Ben Helal,Mouvement Nidaa Tounes,Bizerte,56968 voix,4ème sur la liste
Emna Ben Hmayed,Mouvement Ennahdha,Bizerte,43437 voix,2ème sur la liste
Ismail Ben Mahmoud,Mouvement Nidaa Tounes,Sfax 2,70081 voix,3ème sur la liste
