Député,Parti.polituque,Région,Nombre.de.voix,Rang.dans.la.liste
Samia Abbou,Bloc Démocrate,Tunis 1,5404,1
Badreddine Abdelkefi,Mouvement Ennahdha,Sfax 2,57994,3
Mohamed Abdellaoui,Mouvement Nidaa Tounes,Sidi Bouzid,27399,3
Abir Abdelli,Mouvement Nidaa Tounes,Sidi Bouzid,27399,2
Asma Abou Hana,Mouvement Nidaa Tounes,Gafsa,21821,2
Mohamed Anouar Adhar,Afek Tounes et l'appel des tunisiens à l'étranger,Sfax 2,6742,1
Oussama Al Sghaier,Mouvement Ennahdha,Italie,2975,2
Lotfi Ali,Bloc Social-Démocrate,Gafsa,4623,1
Aymen Aloui,Front Populaire,Kasserine,4591,1
Souhail Alouini,Mouvement Nidaa Tounes,Kairouan,33513,1
Nizar Amami,Front Populaire,La Manouba,2981,1
Ahmed Ameri,Mouvement Ennahdha,Medenine,68795,3
Hssan Amri,Mouvement Nidaa Tounes,Ariana,82769,3
Noura Amri,Mouvement Nidaa Tounes,Sousse,102604,6
Ammar Amroussia,Front Populaire,Gafsa,5664,1
Mbarka Aouania ,Front Populaire,Sidi Bouzid,7918,1
Jihen Aouichi,Mouvement Nidaa Tounes,Jendouba,34484,2
Sahbi Atig,Mouvement Ennahdha,Ariana,42459,1
Wafa Attia,Mouvement Ennahdha,Sousse,50820,4
Chafik Ayadi,Front Populaire,Sfax 1,6413,1
Chaker Ayadi,Mouvement Nidaa Tounes,Jendouba,34484,3
Fathi Ayadi,Mouvement Ennahdha,Sfax 1,49609,1
Yassine Ayari,
				,Allemangne,284,1
Dalila Babba,Mouvement Ennahdha,France 2,8134,2
Kalthoum Badreddine,Mouvement Ennahdha,Sfax 2,57994,2
Chakib Bani,Mouvement Nidaa Tounes,Nabeul 1,73739,4
Walid Banneni,Mouvement Ennahdha,Kasserine,23650,1
Salah Bargaoui,Mouvement Nidaa Tounes,Siliana,16618,1
Tarek Barrak,Front Populaire,Kairouan,4830,1
Souad Bayouli,Front Populaire,Sfax 2,5991,1
Mohamed Ali Bedoui,Mouvement Ennahdha,Kebili,21944,1
Ali Belakhoua,Union Patriotique Libre,Bizerte,8055,1
Abdelmoumen Belanes,Front Populaire,Monastir,5073,1
Haykel Belgacem,Front Populaire,Mahdia,3215,1
Mondher Belhaj Ali,Mouvement Nidaa Tounes,La Manouba,38009,1
Bochra Belhaj Hamida,Mouvement Nidaa Tounes,Tunis 2,115045,2
Moez Belhaj Rhouma,Mouvement Ennahdha,Nabeul 1,29368,3
Lakhdhar Belhouchat,Mouvement Ennahdha,Medenine,68795,5
Aroua Ben Abbas,Mouvement Ennahdha,Tunis 2,42250,2
Najia Ben Abdelhafidh,Mouvement Nidaa Tounes,France 2,12987,2
Noureddine Ben Achour,Union Patriotique Libre,Beja,4411,1
Mustapha Ben Ahmed,Mouvement Nidaa Tounes,Tunis 2,115045,3
Khawla Ben Aicha,Mouvement Nidaa Tounes,France 1,15406,2
Nadhir Ben Ammou,Mouvement Ennahdha,Tunis 1,53343,3
Bechir Ben Amor,Mouvement Nidaa Tounes,Medenine,14334,1
Hedi Ben Braham,Mouvement Ennahdha,Mahdia,24865,1
Heger Ben Cheikh Ahmed,Afek Tounes et l'appel des tunisiens à l'étranger,Tunis 2,9119,2
Abdelkader Ben Dhifallah,Union Patriotique Libre,Nabeul 2,5917,1
Mahbouba Ben Dhifallah,Mouvement Ennahdha,Kebili,21944,2
Faouzia Ben Fodha,Union Patriotique Libre,La Manouba,9460,1
Ramzi Ben Fraj,Mouvement Ennahdha,Amérique et reste de l'Europe,4336,1
Sahbi Ben Fraj,Mouvement Nidaa Tounes,Tunis 2,115045,5
El Khansa Ben Harrath,Mouvement Nidaa Tounes,Le Kef,34885,2
Rabha Ben Hassine,Mouvement Nidaa Tounes,Mahdia,50448,4
Ibtihej Ben Helal,Mouvement Nidaa Tounes,Bizerte,56968,4
Emna Ben Hmayed,Mouvement Ennahdha,Bizerte,43437,2
Ismail Ben Mahmoud,Mouvement Nidaa Tounes,Sfax 2,70081,3
Imen Ben Mhamed,Mouvement Ennahdha,Italie,2975,1
Mohamed Fadhel Ben Omrane,Mouvement Nidaa Tounes,Kebili,5793,1
Ibrahim Ben Said,Bloc Démocrate,Kebili,8953,1
Ali Ben Salem,Mouvement Nidaa Tounes,Bizerte,56968,1
Mohamed Ben Salem,Mouvement Ennahdha,Zaghouan,11720,1
Mohamed Ben Souf,Mouvement Nidaa Tounes,Italie,2147,1
Ali Bennour,Afek Tounes et l'appel des tunisiens à l'étranger,Monastir,6292,1
Mohamed Kamel Besbes,Mouvement Ennahdha,Monastir,37815,1
Slim Besbes,Mouvement Ennahdha,Sfax 1,49609,3
Noureddine Bhiri,Mouvement Ennahdha,Ben Arous,61420,1
Nozha Biaoui,Afek Tounes et l'appel des tunisiens à l'étranger,Sidi Bouzid,2793,2
Sameh Bouhaouel,Mouvement Nidaa Tounes,Monastir,104221,4
Meriem Boujbel,Mouvement Nidaa Tounes,Nabeul 2,60247,2
Houssem Bounenni,Mouvement Nidaa Tounes,Nabeul 1,73739,2
Heger Bouzemmi,Mouvement Ennahdha,Medenine,68795,4
Monia Brahim,Mouvement Ennahdha,Sousse,50820,2
Zeineb Brahmi,Mouvement Ennahdha,Gafsa,28265,2
Fathi Chamkhi,Front Populaire,Nabeul 2,4007,1
Naceur Channoufi,Bloc Social-Démocrate,Zaghouan,1609,1
